Day,GroupID,GroupNumber,GroupType,MouseID,MouseNumber,FractionOfTimeOutside,VisitsOutsideRate,ForagingCorrelation,ContactRate,ContactRateOutside,FractionOfTimeInContactOutside,MedianContactDuration,MeanContactDuration,DiffBetweenApproachesAndChases,FractionOfChasesPerContact,FractionOfEscapesPerContact,FractionOfFollowsPerContact,FractionOfBeingFollowedPerContact,FractionOfNAChasesPerContact,FractionOfNAEscapesPerContact,AggressiveChaseRateOutside,AggressiveEscapeRateOutside,FollowRateOutside,BeingFollowedRateOutside,NAChaseRateOutside,NAEscapeRateOutside,AggressiveChaseRate,AggressiveEscapeRate,FollowRate,BeingFollowedRate,NAChaseRate,NAEscapeRate,NumberOfApproachs,ApproachRateOutside,NumberOfApproachesPerMiceOut,FractionOfApproachesPerContact,ApproachRate,FractionOfBeingApproachedPerContact,BeingApproachedRateOutside,BeingApproachedRate,FractionOfApproachEscapeBehaviorPerAggression,Entropy,EntropyOutside,FractionOfTimeNearFoodOrWater,FoodOrWaterPerTimeOutside,FractionOfTimeInFeederOutside,FractionOfTimeInWaterOutside,ProximateVsDistantFood,ProximateVsDistantWater,FractionOfTimeAtHighPlace,HighPlacePerTimeOutside,FractionOfTimeInTheOpenOutside,FractionOfTimeInSmallNestOutside,FractionOfTimeOnRampOutside,FractionOfTimeInLabyrinthOutside,DistanceFromWallsInOpen,DistanceFromNest,FractionOfTimeAloneOutside,MedianSpeedOutside,MeanSpeedOutside,TangentialVelocity,AngularVelocity,DistanceOutside,GridEntropy6x6,GridMI6x6,ConditionID
2,7,102,Baseline02,4,51,0.198940318367475,24.834552065981,0.0605451237602259,27.1679999111068,136.563569084689,0.286941748702553,4.9,7.5641717791411,168,0.0245398773006135,0.0828220858895705,0.0858895705521472,0.374233128834356,0.0613496932515337,0.291411042944785,3.35125322907212,11.3104796481184,11.7293863017524,51.1066117433499,8.3781330726803,39.7961320952314,0.666699384321638,2.25011042208553,2.33344784512573,10.167165610905,1.6667484608041,7.91705518881945,176,73.7275710395867,86.6525528038994,0.539877300613497,14.667386455076,0.414110429447853,56.5523982405921,11.2505521104276,0.371428571428571,1.18104036731828,2.31846771346649,0.0828772152707494,0.416593358002281,0.313970536898694,0.102622821103586,0.609591579571566,0.888788098693759,0.00493450141534723,0.0248039284135074,0.460024668947381,0.0506830505713421,0.0245898205683167,0.0478949940654891,8.17979907989502,40.5660018920898,0.149158695803952,0.00613784207962453,0.0260037907435534,0.0215438214023743,0.249210095437569,218.847902897745,1.58048308756815,0.666243751210622,1
3,7,102,Baseline02,1,45,0.552576632299224,16.9167449849305,0.0808511566810696,29.0834679790184,52.6324608733537,0.124431113643219,4.16,8.51094555873926,106,0.0200573065902579,0.0458452722063037,0.0945558739255014,0.111747851002865,0.0744985673352436,0.0659025787965616,1.05566540433661,2.41294949562653,4.97670833472972,5.88156439558966,3.92104293039311,3.46861489996314,0.58333603396312,1.33333950620142,2.75001273154042,3.25001504636596,2.1666766975773,1.91667554016454,113,17.0414558128624,21.2651176795303,0.32378223495702,9.41671026254751,0.458452722063037,24.1294949562653,13.3333950620142,0.173913043478261,2.24704583936916,2.27124460324118,0.318282955013681,0.575997855156004,0.501769496296793,0.0742283588592111,0.517121617921094,0.778319562959953,0.00176204519465368,0.00318877978484534,0.324375816883944,0.0124618787492878,0.00313013170682664,0.0839756694259191,5.9731650352478,38.5563659667969,0.198619256677503,0.00367619260214269,0.00917737582769903,0.0197803096914983,0.227301740031374,217.990208035335,2.95427456331608,0.666934742707029,1
3,7,102,Baseline02,2,47,0.397782397140727,36.0835003865759,0.0568907726286053,57.0835976092482,143.504584465192,0.248750590661611,3.44,6.24023357664234,248,0.0291970802919708,0.0554744525547445,0.0744525547445255,0.236496350364963,0.0452554744525547,0.181021897810219,4.18991487489613,7.96083826230264,10.6842829309851,33.9383104866586,6.49436805608899,25.977472224356,1.66667438275177,3.16668132722837,4.25001967601702,13.5000625002894,2.58334529326525,10.333381173061,268,56.1448593236081,66.7910923057326,0.391240875912409,22.3334367288737,0.456934306569343,65.5721677921244,26.0834540900652,0.293103448275862,1.65671334188582,1.72726283753888,0.0992245334469141,0.249444254346455,0.164738141958971,0.0847061123874833,0.365554173967106,0.906595218466612,0.00413705619007495,0.0104002998116866,0.668528851055509,0.0195110369340996,0.00973224116218928,0.0521155578522496,5.28059482574463,45.234317779541,0.159396000493479,0.00366610987111926,0.0200482902446585,0.0215413349611139,0.256978721835057,339.417553842068,2.52132543397114,0.660240636849505,1
3,7,102,Baseline02,3,49,0.456516928319113,31.5001458340085,0.0339583388831356,44.8335408960227,98.2078387785071,0.166308342595673,3.72,6.09635687732342,216,0.0390334572490706,0.0111524163568773,0.197026022304833,0.0446096654275093,0.157992565055762,0.033457249070632,3.83339147648448,1.09525470756699,19.3494998336835,4.38101883026797,15.5161083571991,3.28576412270098,1.75000810188936,0.500002314825532,8.83337422858439,2.00000925930213,7.08336612669503,1.50000694447659,237,43.2625609488962,54.926802889258,0.440520446096654,19.7500914356085,0.414498141263941,40.7069666312399,18.5834193676823,0.0740740740740741,2.00633400537633,2.21633957282718,0.147745128449669,0.323635596589296,0.219044856765023,0.104590739824272,0.599238867746326,0.829697287024648,0.00292316168130408,0.00640318354034999,0.47612344737504,0.019448884057148,0.00605635288295378,0.174388888438167,6.89375972747803,38.1279716491699,0.212359746549948,0.00454238150268793,0.0166230470829904,0.0190793050247911,0.228754937391707,324.132795071229,2.98078727059489,0.67238303253391,1
3,7,102,Baseline02,4,51,0.262134546919199,29.0001342598808,0.0023612529196552,43.5002013898212,165.946083418108,0.283160958517011,3.48,6.14283524904215,247,0.0689655172413793,0.0459770114942529,0.239463601532567,0.172413793103448,0.170498084291188,0.126436781609195,11.4445574771109,7.62970498474059,39.7380467955239,28.6113936927772,28.293489318413,20.9816887080366,3.00001388895319,2.00000925930213,10.4167148921986,7.50003472238297,7.41670100324539,5.50002546308085,283,89.9669379450661,112.579561527581,0.542145593869732,23.5834425159376,0.39272030651341,65.1703967446592,17.0834124232057,0.133333333333333,1.44018711222514,2.32795233888616,0.138646938180269,0.528915168983836,0.287562167966542,0.241353001017294,0.527465913278467,0.969119541037349,0.00293242098343048,0.0111867017067933,0.380256018989488,0.0281839889227987,0.0108334746241664,0.0514581213970838,7.48719692230225,37.7060928344727,0.200859048264949,0.0049996986053884,0.0257774176588169,0.0213859788633448,0.256650842557896,286.052003759891,1.87266890349788,0.656897070354544,1
4,7,102,Baseline02,1,45,0.361766790001814,11.5264453863369,0.0643916049428803,16.4062543820124,45.3503606064286,0.118161591991462,5.92,9.37989743589744,90,0.0153846153846154,0.0923076923076923,0.117948717948718,0.276923076923077,0.102564102564103,0.184615384615385,0.697697855483518,4.18618713290111,5.3490168920403,12.5585613987033,4.65131903655678,8.37237426580221,0.252403913569421,1.51442348141653,1.9350966706989,4.54327044424958,1.68269275712948,3.02884696283306,93,21.628633519989,28.8328384327613,0.476923076923077,7.82452132065206,0.487179487179487,22.0937654236447,7.99279059636501,0.142857142857143,1.8770517865641,2.5787657159501,0.201980155443418,0.558315912420831,0.367433531358935,0.190882381061896,0.5862214470575,0.836169435081022,0.00272596226654975,0.00753513683922199,0.203701933139873,0.0182874360120624,0.00730257088739415,0.212159581588012,10.171028137207,35.5179214477539,0.249861106445436,0.0034968190593645,0.0115907541345009,0.0210591875374073,0.24628581277382,178.567158196121,2.29158870886225,0.654179948828708,1
4,7,102,Baseline02,2,47,0.403968724350621,30.372604266187,-0.117202723221614,22.2115443941091,54.9833268152482,0.13753699688289,5.48,9.00515151515152,143,0.053030303030303,0.0833333333333333,0.15530303030303,0.21969696969697,0.102272727272727,0.136363636363636,2.9157824826268,4.58194390127068,8.5390772705499,12.0796702851682,5.62329478792311,7.49772638389748,1.17788492999063,1.85096203284242,3.44952015211543,4.87980899567548,2.27163522212479,3.02884696283306,157,32.6984178408862,63.9864509935334,0.59469696969697,13.2091381434664,0.314393939393939,17.2864247184303,6.98317494208732,0.416666666666667,1.77924999367809,1.99526617998689,0.114572680174327,0.283617699262492,0.227292186860003,0.0563255124024891,0.373691712482183,0.868282662284306,0.0101260710806814,0.0250664728982646,0.59067504992699,0.0284381356579371,0.0249553954703551,0.0722026422543164,8.3853816986084,44.6113433837891,0.488979036449595,0.00367382052354515,0.0156004334241283,0.0224731350762934,0.259437519682822,266.205795949325,2.76310308822941,0.67346016169283,1
4,7,102,Baseline02,3,49,0.319184380124033,11.6947146620499,0.0485266113602562,19.0985627934195,59.8355182230345,0.118139270610012,4.88,7.10784140969163,64,0.0748898678414097,0.00881057268722467,0.259911894273128,0.0748898678414097,0.185022026431718,0.066079295154185,4.48107405194531,0.527185182581802,15.5519628861631,4.48107405194531,11.0708888342178,3.95388886936351,1.43028884356005,0.168269275712948,4.96394363353195,1.43028884356005,3.5336547899719,1.26201956784711,81,21.350999894563,30.1574891097956,0.356828193832599,6.81490566637438,0.506607929515419,30.3131479984536,9.67548335349449,0.0526315789473684,1.67410495857781,2.41431821670797,0.15380653146542,0.481873616138896,0.359619372298176,0.12225424384072,0.730712534714587,0.685113315126252,0.00262219621319343,0.00821530242856641,0.357586780538666,0.0219777645005213,0.00803664522780258,0.13034653639335,9.20452785491943,36.1875343322754,0.29201665905177,0.00432028295472264,0.0136212598399079,0.0213353404734326,0.244963071696318,184.922223586589,2.26178297072806,0.664421069118292,1
4,7,102,Baseline02,4,51,0.275106243351027,18.0048125012854,0.059383839961309,18.5096203284242,67.2817167031959,0.183604329136721,5.7,9.824,63,0.0681818181818182,0.0318181818181818,0.2,0.172727272727273,0.131818181818182,0.140909090909091,4.5873897752179,2.14078189510169,13.4563433406392,11.621387430552,8.86895356542128,9.48060553545033,1.26201956784711,0.588942464995317,3.70192406568485,3.197116238546,2.43990449783774,2.60817377355069,78,23.8544268311331,30.1002053845923,0.354545454545455,6.56250175280496,0.527272727272727,35.4758142616851,9.75961799135096,0.0909090909090909,1.51388042109229,2.417915671265,0.121717580586961,0.442438452520516,0.322758550384831,0.119679902135685,0.298442879252077,0.863287904599659,0.00585016181895348,0.0212651001580101,0.400295631785514,0.0341199857281207,0.0208437399119901,0.101880829807839,8.6190881729126,39.779899597168,0.207499532765856,0.00491293799132109,0.0164567279525556,0.0238833667091494,0.266950248208511,191.70442391932,2.0724585636542,0.673411403411592,1
1,8,103,Baseline02,1,53,0.685152658503275,19.666211430291,0.283026200698706,40.0824054998727,58.5014230075867,0.124743574843712,4.76,7.67634095634096,166,0.0187110187110187,0.0353430353430353,0.0602910602910603,0.126819126819127,0.0415800415800416,0.0914760914760915,1.09462122051617,2.067617860975,3.52711282166323,7.41909938349852,2.43249160114705,5.35148152252352,0.749982639290757,1.41663387421587,2.41661072660355,5.08321566630402,1.66662808731279,3.66658179208815,175,21.2843015100367,21.876823068589,0.363825363825364,14.5829957639869,0.503118503118503,29.4331483738794,20.1661998564848,0.153846153846154,2.59597902030257,2.47724230863913,0.363794356612115,0.530968320851048,0.464070747666835,0.0668975731842126,0.259810602089667,0.599579823445044,0.0201328672947385,0.0293844985418564,0.289836779813563,0.0626866599457825,0.0293155779464906,0.0871237408477504,9.33562564849854,41.2945327758789,0.0270844425945496,0.00758120557293296,0.0167166202316897,0.0166972649732128,0.22549743694629,492.505065266043,3.65155596455339,0.693916574497893,1
1,8,103,Baseline02,2,55,0.473503854077452,22.2494849656258,0.263112292948473,39.2490914562163,82.8907539362842,0.160329764018491,4.84,6.96322717622081,161,0.00212314225053079,0.0403397027600849,0.0254777070063694,0.138004246284501,0.0233545647558386,0.0976645435244161,0.175988861860476,3.34378837534904,2.11186634232571,11.4392760209309,1.93587748046524,8.0954876455819,0.0833314043656397,1.58329668294715,0.999976852387676,5.41654128376658,0.916645448022037,3.83324460081943,162,28.5101956213971,29.2121144121112,0.343949044585987,13.4996875072336,0.501061571125265,41.5333713990723,19.666211430291,0.3,2.11895059929108,2.36740887032516,0.154658456980163,0.326625550454051,0.230752684807859,0.095872865646192,0.58911411284172,0.760651859103796,0.0173486724844332,0.0366389256075527,0.49577431188355,0.0645605362576164,0.0364590258820953,0.0764006757972295,8.90010452270508,40.4781913757324,0.0240283459393503,0.00758755533024669,0.0203309561660969,0.0204588012293362,0.244859754513575,412.820064952597,3.2324517001449,0.657525445222875,1
1,8,103,Baseline02,3,57,0.754859378255133,19.416217217194,0.261221443154181,43.9156501006921,58.1772597198218,0.130470140457053,4.84,8.0734724857685,212,0.0360531309297913,0.0113851992409867,0.117647058823529,0.0417457305502846,0.0815939278937381,0.0303605313092979,2.09747236181521,0.662359693204803,6.84438349644963,2.42865220841761,4.74691113463442,1.76629251521281,1.58329668294715,0.499988426193838,5.16654707066966,1.83329089604407,3.58325038772251,1.33330246985024,231,25.5008481883849,27.2395309926641,0.438330170777989,19.2495544084628,0.428842504743833,24.9488817773809,18.8328973866346,0.12,2.68152707257207,2.48793639874017,0.38377537557001,0.508406448439591,0.445811004247688,0.0625954441919028,0.465933884524907,0.588023201128704,0.0192819610657161,0.0255437789092408,0.331670483412183,0.0685358293663303,0.0254934886362382,0.0658434598726552,8.8828010559082,39.315128326416,0.0638293957685028,0.00567449908703566,0.0144269907743551,0.0162037311281706,0.223275820905901,468.660795304924,3.88818884857693,0.681283184393664,1
1,8,103,Baseline02,4,59,0.526096155181593,25.5827411402514,0.123487752019106,53.5820930071063,101.848478608652,0.179687678745224,4.48,6.35135303265941,336,0.0342146189735614,0.0139968895800933,0.118195956454121,0.0482115085536547,0.0839813374805599,0.0342146189735614,3.48470688863194,1.42556190898579,12.0380783425467,4.91026879761773,8.55337145391475,3.48470688863194,1.83329089604407,0.749982639290757,6.33318673178862,2.58327353533483,4.49989583574454,1.83329089604407,358,56.7056848241015,61.756317468106,0.556765163297045,29.832642762899,0.345256609642302,35.1638604216495,18.499571769172,0.129032258064516,2.22478157073402,2.33179320787836,0.151215944075369,0.287430239863991,0.220560826614713,0.066869413249278,0.330380938701904,0.600052638505066,0.0265817920881461,0.050526489932189,0.505268419227838,0.0488721341365759,0.0504226527067197,0.107902716839406,9.35078430175781,40.7846374511719,0.081783254751433,0.00959195476025343,0.0252670573577379,0.016621988613679,0.220413488596002,570.075348105282,3.52258704281668,0.652715114791354,1
2,8,103,Baseline02,1,53,0.502957626490851,6.58382102377954,0.328351339381721,14.6677531669012,29.162999812208,0.126170478354205,7.44,15.575,78,0.0454545454545455,0.0113636363636364,0.164772727272727,0.0852272727272727,0.119318181818182,0.0738636363636364,1.32559090055491,0.331397725138727,4.80526701451154,2.48548293854045,3.47967611395663,2.15408521340172,0.666716053040966,0.166679013260241,2.4168456922735,1.25009259945181,1.75012963923254,1.08341358619157,86,14.2501021809653,16.0300885175689,0.488636363636364,7.16719757019038,0.431818181818182,12.5931135552716,6.33380250388918,0.1,2.11304360233533,2.21304695259383,0.319219016223424,0.634683717693325,0.595451750332318,0.0392319673610063,0.708959192633773,0.384907785442771,0.00371601600118527,0.00738832817212061,0.221511762778144,0.025504737146371,0.00732020752861988,0.11091145421004,7.74989700317383,35.4514923095703,0.111040331103149,0.00556531688198447,0.0100458876024623,0.0233210681003425,0.297180054783104,217.804889108986,2.65558556535982,0.682999998957608,1
2,8,103,Baseline02,2,55,0.451683458033928,16.0845247796133,0.224056102629115,20.2515001111193,44.8356027897708,0.14872422516616,6.72,11.9415637860082,81,0.0123456790123457,0.0781893004115226,0.0740740740740741,0.226337448559671,0.0617283950617284,0.148148148148148,0.553525960367541,3.50566441566109,3.32115576220525,10.1479759400716,2.76762980183771,6.6423115244105,0.250018519890362,1.58345062597229,1.50011111934217,4.58367286465664,1.25009259945181,3.00022223868435,84,15.4987268902912,17.99721471677,0.345679012345679,7.00051855693014,0.51440329218107,23.0635816819809,10.4174383287651,0.272727272727273,2.05573485326462,2.35226963964593,0.202397399807393,0.448095665686721,0.380866862655859,0.0672288030308621,0.587587469049413,0.483517823925838,0.00639584413660271,0.0141600141046615,0.385864997068363,0.0169050928488546,0.0140657096817841,0.134974230291401,9.01529598236084,37.3171501159668,0.138826360956329,0.00510985124856234,0.0133431556027751,0.0261963350972477,0.289029550459775,258.977307094261,2.92544466060936,0.651242994324033,1
